created_at,full_text,username,tweet_url,value,value_link_source
Tue Mar 05 16:40:26 +0000 2024,"['inna', 'lillahi', 'inna', 'ilaihi', 'rojiun', 'tinggal', 'dunia', 'bapak', 'letjen', 'tni', 'purn', 'solihin', 'selasa', 'maret', 'bandung', 'keluarga', 'turut', 'dukacita', 'doa', 'almarhum', 'mang', 'ihin', 'husnul', 'khotimah', 'keluarga', 'tinggal', 'sabar', 'httpstcoelrufyxhh']",fadjroeL,https://twitter.com/fadjroeL/status/1765054776599785921,,
Tue Mar 05 16:39:51 +0000 2024,"['medan', 'rapat', 'pimpin', 'kodam', 'ibukit', 'baris', 'tahun', 'rupa', 'lanjut', 'rapat', 'pimpin', 'tni', 'februari', 'lalu', 'tuju', 'jabar', 'menindaklanjuti', 'pokokpokok', 'bijak', 'httpstcokwkkjtum']",Patrolihukum301,https://twitter.com/Patrolihukum301/status/1765054627777589649,,
Tue Mar 05 16:39:33 +0000 2024,"['medan', 'rapat', 'pimpin', 'kodam', 'ibukit', 'baris', 'tahun', 'rupa', 'lanjut', 'rapat', 'pimpin', 'tni', 'februari', 'lalu', 'tuju', 'jabar', 'menindaklanjuti', 'pokokpokok', 'bijak', 'httpstcorrtvrde']",libasjatim,https://twitter.com/libasjatim/status/1765054552154501318,,
Tue Mar 05 16:38:36 +0000 2024,"['jakarta', 'httpstcojukwqxfr', 'panglima', 'kostrad', 'pangkostrad', 'letnan', 'jenderal', 'tni', 'muhammad', 'saleh', 'mustafa', 'tindak', 'inspektur', 'upacara', 'ziarah', 'taman', 'makam', 'pahlawan', 'nasional', 'tmpn', 'kalibata', 'jakarta', 'timur', 'httpstcoosysbndut']",BeritaVira63066,https://twitter.com/BeritaVira63066/status/1765054314467197194,,
Tue Mar 05 16:34:07 +0000 2024,"['jakarta', 'httpstcojukwqxfr', 'komandan', 'pasmar', 'brigjen', 'tni', 'mar', 'sugianto', 'sos', 'hadir', 'upacara', 'serah', 'terima', 'jabat', 'komandan', 'brigade', 'infanteri', 'marinirbs', 'lapang', 'apel', 'brigif', 'marinir', 'kesatrian', 'httpstcowfrgd']",BeritaVira63066,https://twitter.com/BeritaVira63066/status/1765053185952018468,,
Tue Mar 05 16:34:00 +0000 2024,"['fagtng', 'masalah', 'milu', 'utama', 'curang', 'milu', 'politis', 'apa', 'urus', 'sama', 'tni', 'polri']",bredar99,https://twitter.com/bredar99/status/1765053156436877750,,
Tue Mar 05 16:29:55 +0000 2024,"['puspen', 'tni', 'gelar', 'rakornispen', 'tni', 'tahun', 'httpstcoapcscqodh', 'news', 'berita', 'kabar', 'popular', 'klikwarta', 'infomasyarakat', 'viral', 'beritaterkini']",klikwarta_com,https://twitter.com/klikwarta_com/status/1765052128882807185,,
Tue Mar 05 16:29:42 +0000 2024,"['boediantar', 'panglima', 'tni', 'kapolri', 'msh', 'tdr', 'tumpu', 'duit', 'selamat', 'negeri', 'lambat']",bagastu192383,https://twitter.com/bagastu192383/status/1765052076801892820,,
Tue Mar 05 16:29:26 +0000 2024,"['jakarta', 'httpstcojukwqxfr', 'irjen', 'tni', 'letjen', 'tni', 'mar', 'suhartono', 'httpstcodhhxgcmohan', 'wakil', 'kepala', 'staf', 'umum', 'tni', 'kasum', 'tni', 'buka', 'rapat', 'koordinasi', 'teknis', 'terang', 'rakornispen', 'tni', 'tahun', 'usung', 'tema', 'httpstcopightj']",BeritaVira63066,https://twitter.com/BeritaVira63066/status/1765052008694735328,,
Tue Mar 05 16:28:32 +0000 2024,"['personil', 'polsek', 'parlilitan', 'sama', 'tni', 'koramil', 'parlilitan', 'laksana', 'giat', 'patroli', 'sama', 'tingkat', 'sinergitas', 'pelihara', 'aman', 'tertib', 'masyarakat', 'saat', 'siang', 'hari', 'httpstcofdsptgg']",humaspolreshum2,https://twitter.com/humaspolreshum2/status/1765051779950215276,,
Tue Mar 05 16:22:21 +0000 2024,"['viral', 'oknum', 'brimob', 'bentrok', 'tni', 'sumut', 'orang', 'anggota', 'babak', 'bur', 'httpstcogmzcgmv']",RepelitaO,https://twitter.com/RepelitaO/status/1765050225088250355,,
Tue Mar 05 16:22:01 +0000 2024,"['jakartahttpstcojukwqxfr', 'puspen', 'tni', 'bina', 'teritorial', 'binter', 'perlu', 'improvisasi', 'inovasi', 'selalu', 'dinamis', 'ikut', 'kembang', 'situasi', 'kondisi', 'bangsa', 'juga', 'perlu', 'sinergitas', 'httpstcoebikihlfgg']",BeritaVira63066,https://twitter.com/BeritaVira63066/status/1765050142900494670,,
Tue Mar 05 16:21:13 +0000 2024,"['nah', 'alutsista', 'rupa', 'alat', 'utama', 'sistem', 'senjata', 'milik', 'mampu', 'laksana', 'tugas', 'pokok', 'tni', 'alutsista', 'sendiri', 'liput', 'senjata', 'kendara', 'tempur', 'munisi', 'alat', 'komunikasi', 'alat', 'optik', 'kapal', 'helikopter', 'hingga', 'alat', 'perang', 'elektronik']",bewlauwu,https://twitter.com/bewlauwu/status/1765049939892326603,,
Tue Mar 05 16:20:19 +0000 2024,"['mau', 'adu', 'domba', 'tni', 'polri', 'rakyat', 'punya', 'negara']",agun202472013,https://twitter.com/agun202472013/status/1765049713949368792,,
Tue Mar 05 16:16:30 +0000 2024,"['nasional', 'jumlah', 'tokoh', 'gera', 'tega', 'daulat', 'rakyat', 'gpkr', 'tuntut', 'tiga', 'kait', 'milu', 'gedung', 'balai', 'sarbini', 'jakarta', 'pusat', 'selasa', 'ikut', 'din', 'syamsudin', 'purn', 'tni', 'fachrul', 'razi', 'httpstcojfcgyvtru', 'pks', 'oposisi', 'httpstcoklhausot']",hijiberita,https://twitter.com/hijiberita/status/1765048753189527911,,
Tue Mar 05 16:10:39 +0000 2024,"['tingkat', 'mampu', 'tempur', 'prajurit', 'tni', 'gelar', 'latih', 'pasu', 'khusus', 'kopaska', 'httpstcoyfmxhrhok', 'news', 'berita', 'kabar', 'popular', 'klikwarta', 'infomasyarakat', 'viral', 'beritaterkini']",klikwarta_com,https://twitter.com/klikwarta_com/status/1765047283333435767,,
Tue Mar 05 16:10:19 +0000 2024,"['aksi', 'prajurit', 'tni', 'sama', 'masyarakat', 'sih', 'pesisir', 'pantai', 'httpstcoxftnejk', 'news', 'berita', 'kabar', 'popular', 'klikwarta', 'infomasyarakat', 'viral', 'beritaterkini']",klikwarta_com,https://twitter.com/klikwarta_com/status/1765047199141143029,,
Tue Mar 05 16:07:03 +0000 2024,"['mantap', 'bravo', 'tni', 'jaya', 'selalu', 'httpstcomvgcsfobwm']",chatterdude,https://twitter.com/chatterdude/status/1765046375803457588,,
